user_id,date_of_first_purchase,purchased_lifetime,chapters_read_first_5_days,searches_first_5_days,questions_answered_first_5_days
am_187265,2019-01-31,false,8,0,0
am_189552,,false,8,4,0
am_186820,,false,8,0,0
am_184748,,false,8,0,0
am_201242,,false,8,0,0
am_198524,,false,8,6,0
am_200802,,false,8,0,0
am_194321,,false,8,16,0
am_200331,,false,8,13,0
am_191999,,false,8,16,0
am_207212,,false,8,12,0
am_190184,,false,8,7,0
am_206090,,false,8,12,0
am_191645,,false,8,5,0
am_199830,,false,8,9,0
am_204232,,false,8,1,0
am_199157,,false,8,10,0
am_194514,,false,8,2,0
am_207209,,false,8,4,0
am_202234,,false,8,8,0
am_194262,,false,8,3,0
am_186921,,false,8,10,0
am_188924,,false,8,1,0
am_194698,,false,8,2,0
am_186368,,false,8,13,0
am_197034,,false,8,0,0
am_206192,,false,8,0,0
am_186100,,false,8,0,0
am_196405,,false,8,1,0
am_195041,,false,8,3,0
am_192220,,false,8,0,0
